"CSquare","VME_index","Uncertainty_score","VME_Class","Uncertainty_Class","VME_Class_Name","Conf_Name"
"1000:100:100:1",5,1,3,"NULL","VME","VME"
"1500:352:235:3",2.204540769,0,0,"0","Low","Low"
"1500:352:352:2",2.204540769,0,0,"0","Low","Low"
"1500:361:124:2",2.204540769,0,0,"0","Low","Low"
"1500:384:479:4",5,1,3,"NULL","VME","VME"
"1500:394:219:3",5,1,3,"NULL","VME","VME"
"1500:394:219:4",5,1,3,"NULL","VME","VME"
"1500:394:227:1",5,1,3,"NULL","VME","VME"
"1500:394:227:2",5,1,3,"NULL","VME","VME"
"1500:394:364:4",5,1,3,"NULL","VME","VME"
"1500:394:457:2",5,1,3,"NULL","VME","VME"
"1500:455:459:2",2.204540769,0.589623821,0,"1","Low","Medium"
"1500:476:486:3",5,1,3,"NULL","VME","VME"
"1500:476:496:4",5,1,3,"NULL","VME","VME"
"1500:477:114:2",2.204540769,0,0,"0","Low","Low"
"1500:477:133:2",2.204540769,0,0,"0","Low","Low"
"1500:477:225:4",2.204540769,0,0,"0","Low","Low"
"1500:477:352:1",2.204540769,0,0,"0","Low","Low"
"1500:477:381:2",5,1,3,"NULL","VME","VME"
"1500:477:381:4",5,1,3,"NULL","VME","VME"
"1500:477:383:4",5,1,3,"NULL","VME","VME"
"1500:477:391:2",5,1,3,"NULL","VME","VME"
"1500:485:123:2",2.204540769,0,0,"0","Low","Low"
"1500:486:114:2",5,1,3,"NULL","VME","VME"
"1500:486:206:2",5,1,3,"NULL","VME","VME"
"1500:486:207:1",5,1,3,"NULL","VME","VME"
"1500:486:215:3",5,1,3,"NULL","VME","VME"
"1500:487:208:2",5,1,3,"NULL","VME","VME"
"1500:488:100:4",5,1,3,"NULL","VME","VME"
"1500:489:207:4",5,1,3,"NULL","VME","VME"
"1500:495:351:4",5,1,3,"NULL","VME","VME"
"1501:380:235:3",5,1,3,"NULL","VME","VME"
"1600:110:495:4",4.324922359,0.534000234,2,"1","High","Medium"
"1600:111:110:4",2.204540769,0,0,"0","Low","Low"
"1600:112:101:4",2.204540769,0,0,"0","Low","Low"
"1600:120:101:3",5,1,3,"NULL","VME","VME"
"1600:120:102:4",5,1,3,"NULL","VME","VME"
"1600:122:113:1",2.38117618,0.515388203,0,"1","Low","Medium"
"1600:123:141:4",5,1,3,"NULL","VME","VME"
"1600:123:245:3",5,1,3,"NULL","VME","VME"
"1600:123:353:1",5,1,3,"NULL","VME","VME"
"1600:123:363:2",5,1,3,"NULL","VME","VME"
"1600:123:455:3",5,1,3,"NULL","VME","VME"
"1600:123:455:4",5,1,3,"NULL","VME","VME"
"1600:123:466:3",5,1,3,"NULL","VME","VME"
"1600:123:467:1",5,1,3,"NULL","VME","VME"
"1600:123:475:4",5,1,3,"NULL","VME","VME"
"1600:123:478:1",5,1,3,"NULL","VME","VME"
"1600:123:478:2",5,1,3,"NULL","VME","VME"
"1600:124:360:3",5,1,3,"NULL","VME","VME"
"1600:124:372:3",5,1,3,"NULL","VME","VME"
"1600:124:381:1",5,1,3,"NULL","VME","VME"
"1600:124:485:2",3.351230536,0.515388203,1,"1","Medium","Medium"
"1600:124:485:3",5,1,3,"NULL","VME","VME"
"1600:124:486:2",3.351230536,0.515388203,1,"1","Medium","Medium"
"1600:124:488:4",5,1,3,"NULL","VME","VME"
"1600:124:489:3",5,1,3,"NULL","VME","VME"
"1600:124:495:3",5,1,3,"NULL","VME","VME"
"1600:225:120:3",3.351230536,0.515388203,1,"1","Medium","Medium"
